frequency,refractiveIndex,absorption
0.0006107526277516292,1.4631889968719602,-6.259344268463509e-05
0.0012215052555032584,1.4632494427116185,-0.0002508421277283415
0.0018322578832548875,1.4633500982764842,-0.0005661498396055764
0.002443010511006517,1.4634908324711837,-0.00101085193360556
0.003053763138758146,1.463671462074793,-0.0015882089174171193
0.003664515766509775,1.4638917520525616,-0.002302397484936337
0.004275268394261404,1.4641514159555185,-0.003158499021862053
0.004886021022013034,1.464450116406988,-0.004162485608010811
0.005496773649764663,1.46478746567505,-0.005321203546752783
0.006107526277516292,1.4651630263295445,-0.006642354457168082
0.006718278905267922,1.4655763119822915,-0.008134473969653382
0.00732903153301955,1.4660267881089053,-0.009806908070878372
0.00793978416077118,1.4665138729504439,-0.011669787148660937
0.008550536788522809,1.4670369384930533,-0.013733997792289723
0.009161289416274438,1.4675953115236,-0.016011152408311986
0.009772042044026067,1.468188274759143,-0.018513556716254917
0.010382794671777697,1.4688150680480692,-0.021254175193178362
0.010993547299529326,1.469474889640528,-0.02424659454006617
0.011604299927280955,1.4701668975258662,-0.027504985247068795
0.012215052555032585,1.4708902108344641,-0.031044061338689106
0.012825805182784214,1.4716439113015916,-0.03487903838365568
0.013436557810535843,1.4724270447905732,-0.03902558985815185
0.014047310438287471,1.473238622872752,-0.043499801954462604
0.0146580630660391,1.4740776244614895,-0.04831812693083042
0.015268815693790731,1.474942997497574,-0.05349733510173812
0.01587956832154236,1.4758336606832907,-0.05905446557124083
0.01649032094929399,1.476748505262322,-0.06500677581540751
0.017101073577045618,1.4776863968428429,-0.07137169022305771
0.01771182620479725,1.478646177260846,-0.0781667477076412
0.018322578832548876,1.4796266664809457,-0.0854095485059115
0.018933331460300507,1.4806266645317854,-0.09311770028258264
0.019544084088052135,1.4816449534731368,-0.10130876366313074
0.020154836715803762,1.482680299391725,-0.11000019732010215
0.020765589343555393,1.483731454422899,-0.11920930274121055
0.02137634197130702,1.4847971587950426,-0.12895316881058103
0.021987094599058652,1.4858761428936913,-0.1392486163372551
0.02259784722681028,1.4869671293422702,-0.15011214266781592
0.02320859985456191,1.4880688350962124,-0.16155986652248047
0.023819352482313542,1.4891799735473001,-0.17360747319665673
0.02443010511006517,1.4902992566348348,-0.18627016027175688
0.025040857737816797,1.491425396960333,-0.19956258398125565
0.025651610365568428,1.4925571099022321,-0.21349880637955576
0.026262362993320056,1.4936931157271205,-0.22809224346253654
0.026873115621071687,1.49483214169385,-0.24335561438957468
0.027483868248823314,1.4959729241469035,-0.25930089195728606
0.028094620876574942,1.497114210595107,-0.2759392544760317
0.028705373504326573,1.4982547617720448,-0.29328103919855386
0.0293161261320782,1.4993933536740807,-0.311335697450598
0.029926878759829835,1.5005287795721407,-0.33011175161101497
0.030537631387581463,1.5016598519931277,-0.349616754087474
0.03114838401533309,1.5027854046669038,-0.3698572484306241
0.03175913664308472,1.5039042944347811,-0.39083873272674563
0.03236988927083635,1.5050154031152096,-0.4125656254049096
0.03298064189858798,1.5061176393226656,-0.4350412335899279
0.03359139452633961,1.5072099402354378,-0.45826772412706007
0.034202147154091235,1.5082912733081897,-0.48224609739851426
0.03481289978184286,1.5093606379251796,-0.5069761640451496
0.0354236524095945,1.5104170669900716,-0.5324565246988745
0.036034405037346125,1.5114596284482618,-0.5586845528241442
0.03664515766509775,1.512487426737878,-0.5856563807568917
0.03725591029284938,1.5134996041655904,-0.6133668890210713
0.037866662920601014,1.5144953422035428,-0.6418096989921307
0.038477415548352635,1.5154738627039404,-0.6709771689665592
0.03908816817610427,1.5164344290277898,-0.7008603936858038
0.039698920803855904,1.5173763470848196,-0.7314492073503095
0.040309673431607525,1.5182989662813908,-0.7627321901491451
0.04092042605935916,1.5192016803738932,-0.7946966783163185
0.04153117868711079,1.5200839282249716,-0.8273287777144276
0.04214193131486242,1.520945194460491,-0.8606133809313691
0.04275268394261404,1.5217850100252213,-0.8945341878650005
0.04336343657036568,1.5226029526356757,-0.929073729755784
0.043974189198117304,1.5233986471287884,-0.964213396615367
0.04458494182586893,1.5241717657053586,-0.9999334679865578
0.04519569445362056,1.5249220280677047,-1.0362131469561466
0.045806447081372194,1.5256492014511223,-1.0730305973310001
0.04641719970912382,1.5263531005492028,-1.1103629838743485
0.04702795233687545,1.5270335873334018,-1.1481865154889752
0.047638704964627084,1.5276905707675403,-1.1864764912206984
0.048249457592378704,1.5283240064183305,-1.225207348947431
0.04886021022013034,1.5289338959633385,-1.2643527166065889
0.049470962847881966,1.5295202865981312,-1.303885465805436
0.050081715475633594,1.5300832703447254,-1.3437777676502107
0.05069246810338522,1.5306229832636804,-1.384001150621555
0.051303220731136856,1.531139604572607,-1.424526560317122
0.05191397335888848,1.5316333556741195,-1.4653244208748812
0.05252472598664011,1.532104499096449,-1.506364697887055
0.053135478614391746,1.5325533373503613,-1.5476169626083258
0.05374623124214337,1.5329802117061446,-1.5890504572590065
0.054356983869895,1.533385500894684,-1.6306341612219342
0.05496773649764663,1.5337696197368984,-1.6723368579283788
0.05557848912539826,1.534133017705912,-1.714127202229203
0.056189241753149884,1.5344761774266107,-1.7559737880456845
0.05679999438090152,1.5347996131172004,-1.7978452160971288
0.057410747008653146,1.5351038689777197,-1.8397101615021914
0.05802149963640477,1.5353895175303525,-1.881537441054975
0.0586322522641564,1.5356571579165514,-1.9232960799789973
0.059243004891908035,1.5359074141560964,-1.9649553779663875
0.05985375751965967,1.5361409333730298,-2.006484974315277
0.06046451014741129,1.5363583839936672,-2.047854911981585
0.061075262775162925,1.5365604539216673,-2.08903570036959
