Category,n at 2_3THz,alpha at 2_3THz,alphaStdDevfrom0_5to2_5THz,nStdDevfrom0_5to2_5THz,alphaAvgfrom0_5to1_5THz,alpha at 1_3THz
PET,1.7670695090903243,76.90584033466018,22.549693243344993,0.014154927940990459,20.6851409402666,27.84195104411543
PET,1.7796124206890225,44.40837015144005,12.676168778583811,0.006745410960823625,14.055520165002886,18.221124709427066
PET,1.811906344301424,53.48450154986689,15.595055710192758,0.009294720423819295,15.156820574794573,20.36257049025306
PET,1.8372163317912933,48.66089957270816,13.76136992364428,0.00846857827438275,15.39379154772145,20.06999177605682
PET,1.713046713945023,63.13113351779279,17.903660404626372,0.00860307424004735,20.38052922677229,26.29986297103205
PET,1.7941352308979155,50.48860765776846,14.837061965880121,0.009645901728046732,13.724639081570901,18.491048613871218
PET,1.7987440829895995,41.717850214351735,11.301740237783292,0.006609779060438074,15.299908960468557,19.297410299626936
PET,1.7647926057234462,44.34122035914463,12.52364387769849,0.005936407262979086,14.433063009237717,18.65119331498784
PET,1.8626556158015668,46.25840190761243,13.500049470438274,0.006583559526726005,13.702709234064555,18.33986368582012
PET,1.8304169007174362,48.11142187624956,13.60667944977763,0.006568769417722917,15.754253688151566,20.423830726181396
PET,1.7675758037482068,64.9616070024165,18.09467569457515,0.011703694464071457,20.999965817228,27.273821021010555
PET,1.7865908873302663,50.69577974383192,14.639543424738708,0.007382801409499406,15.466035846840164,20.267717311026225
PET,1.8134555216262878,50.752290896725825,14.647642515598003,0.00813953370987583,15.039445509675868,19.94129115077456
PET,1.8068749849543728,46.00955268221553,12.726663368984283,0.006518673106223422,16.006611047638188,20.440185862817277
PET,1.7842300533920703,46.25160206061542,13.14159949646289,0.007449503475307054,14.524582459451654,18.883275656079675
PET,1.822089557141593,45.85929338197785,12.743658772929317,0.005618024610863056,15.680133987976086,20.262478479089307
PET,1.842592414302319,51.8833827580122,14.859724875566112,0.009047206983098334,15.648479353399837,20.61199139565305
PET,1.729800014545116,63.99341879810722,17.48312861692692,0.012701295817766835,21.16336520208616,27.472598138833416
PET,1.7119983910008918,72.59063963694672,20.779367703925963,0.014425574107826303,20.027897224368054,26.733492014902325
PET,1.7669848114201316,45.452389554174175,12.594018850286101,0.005979756847487014,15.08283704720284,19.394934797157397
PET,1.7671617482830058,48.280146338855786,13.602965091551875,0.006377294652923782,16.015642073553025,20.498809038734223
PET,1.7838399664062297,48.666589268242355,13.748321727763676,0.0069320309761155266,15.709875339885011,20.261217615906247
PET,1.7464003936054737,73.4037070231711,20.964702329181303,0.01520944550760972,20.327809577317463,27.199067526750312
PET,1.7574201417291708,41.64831740577421,11.307287937048885,0.006556152817891155,14.728896860682084,18.549622864277712
PET,1.7520574149303139,49.80563842950222,14.153215197848846,0.009664814043223306,14.732980532092315,19.326952368393272
PET,1.76970346537277,38.02906258600359,10.328877043699237,0.006284991499531646,13.928087960358436,17.553875076250762
PET,1.771137880818202,45.80273966588358,12.896795245807372,0.006263678994051524,15.20248917942418,19.622860313442622
PET,1.7772732777990634,47.647540265621686,13.83309313551105,0.006738545078780183,14.253017965124599,18.74193621372572
PET,1.7851745470222238,41.326393285394495,11.419375694210583,0.006447605274686186,14.356096647657049,18.19675673702304
PET,1.7853894402528292,55.040394064861495,16.146952650413184,0.010698491573280285,14.70455035123695,19.843515740999276
PET,1.802624310060184,47.32152852874704,13.306740546999146,0.00689066099314304,15.837128555567265,20.298309885772053
